"Reading ID","Post-Compressor (bits)","Pre-Evaporator (bits)","Post-Evaporator (vals)","Pre-Compressor (vals)","Test (vals)","Time (s)"
"1","0","0","5.1342247074935585","5.3460711245425045","5.745633733458817","0"
"2","0","0","5.3937795497477055","5.589214917737991","5.556394495069981","0.204"
"3","0","0","5.209337081992999","5.433421410387382","5.033146031433716","0.41"
"4","0","0","5.238341410178691","5.54076434019953","5.665601175511256","0.613"
"5","0","0","5.9713918678462505","5.525583731709048","5.88256635167636","0.821"
"6","0","0","5.080257044639438","5.953409392386675","5.047315383097157","1.024"
"7","0","0","5.643911967519671","5.113006797619164","5.661052844719961","1.229"
"8","0","0","5.668757331091911","5.348786582937464","5.804192623123527","1.431"
"9","0","0","5.294586919946596","5.389912998303771","5.711874928092584","1.636"
"10","0","0","5.2991002425551414","5.686918206978589","5.769442617893219","1.84"
"11","0","0","5.576650075148791","5.328543001553044","5.5004062440712005","2.04"
"12","0","0","5.992525559384376","5.929374817758799","5.432883689412847","2.246"
"13","0","0","5.753880803706124","5.941966583253816","5.605200484627858","2.449"
"14","0","0","5.359031076543033","5.459026241442189","5.6625122227706015","2.654"
"15","0","0","5.626119549619034","5.594178987899795","5.3086641922127455","2.859"
"16","0","0","5.337217338616028","5.355284837540239","5.281590022146702","3.061"
"17","0","0","5.358309155097231","5.0549617051146924","5.377865053946152","3.262"
"18","0","0","5.583348331041634","5.3441788093186915","5.714965078514069","3.475"
"19","0","0","5.399684926494956","5.206632928689942","5.665213025873527","3.676"
"20","0","0","5.953192022396252","5.515956458635628","5.567000916227698","3.879"
"21","0","0","5.0412168931216","5.146027078619227","5.2163473886903375","4.213"
"22","0","0","5.065913325175643","5.882332919631153","5.560582864098251","4.418"
"23","0","0","5.0373220928013325","5.392697631847113","5.222588998964056","4.621"
"24","0","0","5.406863564159721","5.09248452889733","5.949542927090079","4.827"
"25","0","0","5.7173856913577765","5.622628160985187","5.9920708648860455","5.03"
"26","0","0","5.459307624725625","5.6246034286450595","5.097480988595635","5.232"
"27","0","0","5.022088745376095","5.624722094973549","5.694124696776271","5.439"
"28","0","0","5.674172293860465","5.6890111598186195","5.282030031085014","5.642"
"29","0","0","5.328092685667798","5.6808841452002525","5.9209293408785015","5.844"
